id,group,ComprehensionCheck,SAPearson,SAKoelle,ConfidenceKoelle,Gender,Age,SAMonteroPublic,SAMonteroHome,LParking,LCarpark,LServicearea,LPavement,LHome,LDriving,LPassenger,LPub,LWorkplace,AAlone,APartner,AFriends,AColleagues,AStrangers,AFamily
225,secretive,secretive,5,6,6,male,54,5,6,4,4,4,4,5,6,6,6,4,5,5,5,4,3,5
226,magical,magical,5,7,7,femal,51,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,6,5
227,suspenseful,suspenseful,5,7,7,male,51,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,4,5
229,secretive,secretive,5,7,7,male,49,6,6,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5
230,secretive,secretive,5,7,7,femal,34,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
231,expressive,expressive,5,7,7,femal,49,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,4,5
232,magical,magical,5,7,7,male,30,6,6,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4
233,magical,magical,5,7,7,femal,23,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
234,secretive,secretive,5,7,7,femal,42,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
235,magical,magical,5,7,7,femal,51,6,6,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5
236,expressive,expressive,5,7,7,femal,53,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
237,magical,magical,5,7,6,male,30,6,6,4,5,5,4,6,6,6,3,4,5,5,5,4,3,5
238,secretive,secretive,5,7,7,male,53,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
239,suspenseful,suspenseful,3,4,2,femal,27,3,6,2,1,2,1,4,6,6,6,2,5,5,5,1,1,5
240,expressive,expressive,5,7,7,male,30,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
241,suspenseful,suspenseful,5,6,4,femal,25,4,6,3,3,3,3,3,3,3,3,3,3,5,5,2,1,5
242,expressive,expressive,5,7,7,male,19,6,6,5,5,5,4,4,5,5,5,5,4,4,4,4,4,4
243,suspenseful,suspenseful,2,3,3,male,38,2,2,2,3,3,2,3,1,2,2,3,3,3,3,2,2,3
244,expressive,expressive,5,7,6,male,26,6,6,5,4,5,5,5,6,6,6,6,5,5,5,4,4,5
245,secretive,secretive,5,7,7,femal,28,6,6,4,4,5,4,5,6,6,6,6,5,5,5,5,6,5
246,secretive,secretive,5,7,6,male,57,6,6,5,5,4,4,6,6,6,6,6,5,5,5,4,6,5
247,secretive,secretive,5,6,5,femal,53,4,6,4,4,4,4,5,6,6,6,4,5,5,5,4,4,5
248,magical,magical,4,6,6,male,44,5,6,3,4,4,4,4,6,6,3,3,5,5,5,4,3,5
249,secretive,secretive,5,7,7,male,24,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
250,secretive,secretive,5,6,6,femal,59,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
251,suspenseful,suspenseful,5,7,7,femal,71,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,3,5
252,suspenseful,suspenseful,5,7,7,male,38,6,6,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5
253,suspenseful,suspenseful,5,7,4,femal,43,6,6,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5
254,expressive,expressive,5,7,7,femal,33,6,6,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5
255,secretive,secretive,5,7,7,male,44,6,6,1,1,1,1,1,3,3,2,2,5,5,5,4,5,5
256,suspenseful,suspenseful,5,5,5,femal,32,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5
257,expressive,expressive,5,7,7,male,26,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
258,secretive,secretive,5,7,7,femal,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
259,expressive,expressive,5,7,5,femal,29,6,6,5,5,5,5,5,3,1,5,5,5,5,5,5,5,5
260,suspenseful,suspenseful,5,7,7,femal,28,6,6,6,5,5,5,5,6,6,6,5,5,5,5,5,5,5
261,suspenseful,suspenseful,5,6,6,male,35,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
262,secretive,secretive,5,7,7,male,54,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
263,secretive,secretive,5,7,7,femal,43,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
264,suspenseful,suspenseful,5,7,7,femal,32,6,6,5,5,5,5,5,6,1,5,5,5,5,5,5,5,5
265,suspenseful,suspenseful,5,7,7,femal,49,6,6,6,6,6,5,5,1,2,2,5,5,5,5,5,5,5
266,expressive,expressive,5,7,6,male,22,5,5,5,3,2,6,5,6,6,6,4,5,5,5,5,3,5
267,magical,magical,5,7,7,femal,41,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
